time, rot x, rot y, rot z, accel x, accel y, accel z
0.35584716, 9.5801525, -24.564886, -43.625954, -6.8359375, 42.96875, 1025.8789
0.357044569, 3.0839694, 28.694656, 25.480917, 3.90625, 41.503906, 1008.78906
0.358299332, -1.4122137, 16.923664, -29.29771, 6.8359375, 48.828125, 1026.3672
0.359524639, 2.2748091, -8.893129, -0.21374045, 9.765625, 58.59375, 1012.20703
0.360773997, -0.8015267, 7.80916, 16.854961, 1.4648438, 51.26953, 1004.8828
0.361989736, -0.13740458, 7.8244276, -8.587787, -1.4648438, 51.757813, 1011.71875
0.363284257, -1.2137405, 4.7938933, 3.221374, 7.3242188, 41.992188, 1017.5781
0.364547274, 2.7709923, -1.2824427, -2.4961832, 14.160156, 43.945313, 1015.625
0.365794477, -1.1984733, 3.664122, -0.86259544, 4.3945313, 41.992188, 999.5117
0.367021327, -1.8549619, 3.1755726, -2.7251909, 10.253906, 43.945313, 1004.8828
0.368301469, -0.03816794, 4.6030536, 2.2366412, 22.460938, 53.710938, 1011.23047
0.369549321, 2.183206, 1.0610687, 0.32824427, 9.277344, 49.316406, 995.1172
0.370794418, 0.90076333, 1.648855, -1.1374046, 18.066406, 48.339844, 1021.4844
0.372040552, 0.519084, 3.2824428, -0.091603056, 21.484375, 47.851563, 1008.3008
0.373304049, -0.45801526, 4.2366414, 0, 4.3945313, 36.621094, 998.53516
0.374551372, 2.2900763, 1.4122137, 1.778626, -2.9296875, 49.316406, 1004.39453
0.37579566, -1.3740458, 6.3587785, -0.114503816, 6.3476563, 54.6875, 1004.39453
0.377044947, 0.129771, 4.1755724, -0.6259542, 11.71875, 39.55078, 1010.7422
0.378301605, 3.6564887, 2.2137403, 2.0229008, 0, 51.26953, 1005.8594
0.379358721, 0.114503816, 5.0839696, -0.8396947, -5.3710938, 41.992188, 1003.90625
0.38065851, 0.52671754, 4.7251906, -2.40458, -0.9765625, 42.96875, 1019.04297
0.38184977, 2.351145, 5.2061067, 0.33587787, -3.90625, 54.6875, 1014.64844
0.383073227, 0.97709924, 5.8702292, 0.7557252, 0, 44.433594, 1002.4414
0.384276041, 1.908397, 5.145038, -2.1068702, -22.460938, 44.433594, 1007.8125
0.385517553, 3.59542, 3.2671757, 0.26717559, -4.8828125, 27.832031, 1004.39453
0.386746821, 1.3206106, 11.893129, -0.21374045, -2.9296875, 40.039063, 1007.8125
0.387976692, 4, 2, -0.5648855, -27.34375, 39.55078, 1024.4141
0.389220939, 2.648855, 4.0076337, 1.6870229, -27.832031, 41.015625, 1016.60156
0.390442842, -0.66412216, 7.0152674, -1.0610687, -35.64453, 15.136719, 1017.5781
0.391665542, 2.40458, 5.7862597, -0.045801528, -66.40625, -10.253906, 1013.6719
0.392948278, 4.366412, 4.5343513, 0.71755725, -35.15625, 0.48828125, 1014.16016
0.394215661, -0.030534351, 2.534351, -1.091603, -19.53125, 27.832031, 1015.625
0.395508418, -1, 2.4885497, -1.9694656, 20.019531, 33.203125, 1011.71875
0.396755101, -0.2977099, -0.5038168, 0.13740458, 63.476563, 89.35547, 1009.7656
0.397991759, -2.832061, 2.6183207, -1.9236641, 93.26172, 104.00391, 1009.27734
0.399258211, 0.97709924, 2.3664122, -2.8473282, 9.765625, 64.94141, 997.5586
0.400505011, -1.648855, 0.18320611, -3.2519083, 5.859375, 54.6875, 1016.1133
0.401795213, 1.259542, 0.15267175, -0.7251908, -17.578125, 28.320313, 1011.23047
0.402998357, 0.8396947, -1.4045801, -1.2671756, -23.925781, 23.925781, 1014.64844
0.404258372, 0.07633588, 3.9694657, -4, -2.4414063, 44.433594, 1009.7656
0.405509011, -2.038168, 1.259542, -4.6870227, 34.66797, 70.3125, 1001.46484
0.406773181, 2.076336, 1.1145039, -2.9770992, 18.066406, 68.84766, 1005.8594
0.408000894, -0.39694658, 1.9236641, -3.351145, 14.6484375, 58.59375, 1019.53125
0.409263186, -1.519084, 0.55725193, -2.1755726, 12.6953125, 51.26953, 1006.83594
0.410510054, 1, -1.3129771, -0.36641222, 6.3476563, 37.109375, 1011.23047
0.411785467, 1.0839695, -1.8854961, -0.35114503, 30.761719, 55.664063, 1015.1367
0.413003452, -2.1145039, -0.55725193, -3.2290077, 21.484375, 57.617188, 1011.23047
0.414257167, 0.71755725, -0.52671754, -1.038168, 21.972656, 61.523438, 1020.9961
0.415544551, 2.8015268, -1.5877863, 2.076336, 15.625, 46.38672, 1010.2539
0.416759117, 1.1068702, -1.8931298, 1.2671756, 15.625, 58.59375, 1013.6719
0.418021066, -1.259542, 1.5038168, 0.045801528, 4.3945313, 57.128906, 1016.1133
0.419149019, -0.20610687, 3.1526718, -3.870229, 8.300781, 53.222656, 1006.34766
0.420487349, 1.4351145, -3.0076337, 1.8244275, -3.4179688, 57.128906, 1014.64844
0.421628548, 1.6259542, -3.2748091, -0.45801526, 8.7890625, 48.828125, 1011.71875
0.422963724, -0.007633588, 1.4198474, -2.1603053, 25.878906, 52.246094, 1008.3008
0.424257324, -0.27480915, 2.6564887, -1.2519084, 6.8359375, 64.453125, 1016.1133
0.425523965, 1.70229, -0.4427481, 1.4045801, 14.6484375, 41.503906, 995.1172
0.426753023, 1.1984733, -3.221374, 2.465649, 4.8828125, 57.617188, 1010.2539
0.428009948, -0.96183205, 0.78625953, 0.52671754, 12.207031, 52.246094, 1007.3242
0.429260286, -1.5572519, 1.4045801, -3.1068702, 5.859375, 56.152344, 1020.01953
0.43048429, 0.39694658, -0.8091603, 2.6259542, 15.625, 49.804688, 1017.08984
0.431733926, -1.4427481, -0.4351145, 1.1374046, 15.625, 50.29297, 1013.6719
0.433007363, -1.8549619, 3.335878, -0.32824427, 13.671875, 54.6875, 1004.39453
0.434256294, -0.870229, 0.65648854, -0.259542, 6.8359375, 52.734375, 1021.4844
0.43551378, 0.7557252, -0.5954198, 1.7633588, 14.6484375, 47.36328, 1018.5547
0.436755795, 1.3129771, 0.48854962, 0.8091603, 15.136719, 56.640625, 1017.08984
0.438024433, -2.3053436, 1.1221374, -2.5496182, 12.207031, 35.15625, 1023.9258
0.439254504, -1.2519084, 1.3969465, 1.6335878, 7.3242188, 51.26953, 1007.8125
0.440506399, 1.129771, 0.099236645, 0.1908397, 15.136719, 49.804688, 1017.5781
0.441761258, 0.053435113, 0.10687023, -0.19847329, 9.765625, 55.17578, 1014.64844
0.442996678, -2.091603, 1.3969465, -1.3740458, 12.207031, 53.710938, 1018.5547
0.444282124, 0.7480916, 4.1755724, 2.442748, 13.183594, 49.804688, 1005.3711
0.445506789, 4.19084, 0.49618322, 2.793893, 22.460938, 55.664063, 1023.9258
0.446783601, 1.0839695, 2.816794, -0.6946565, 7.8125, 53.222656, 1007.8125
0.447998613, -1.1068702, 4.923664, -1.091603, 7.3242188, 54.19922, 1008.78906
